kode pengungsian,name,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM61,Masjid Jami Ar-Rohah,"Jl. Abdul Muis No.104, RT.2/RW.1, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",-6.1807356,106.8173197,1000
JPM62,Al Bahri Mosque,"Jl. Batu III No.1 6, RT.7/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1786342,106.8337759,1000
JPM63,Al-Qorieb Mosque,"JL Petojo Utara No.7, RT.10/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",-6.1623136,106.8135586,1000
JPM64,Masjid Al-Amin,"Hayam Wuruk St No.7, RT.6/RW.2, Kebon Kelapa, Gambir, Central Jakarta City, Jakarta 10120",-6.1637323,106.8213712,1000
JPM65,Masjid Al Karomah,"Senen, RT.4/RW.2, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",-6.1790517,106.8434121,1000
JPM66,Masjid Al-Ishlah - Kwitang,"Jl. Kramat Kwitang I I No.395 5, RT.5/RW.8, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",-6.1840022,106.8424283,1000
JPM67,Masjid Ar-Rahmah,"Jl. Kb. Kacang 6 No.62 14, RT.2/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.190749,106.8176688,1000
JPM68,Masjid Annur Darussalam,"Jl. Batang Hari No.42, RT.6/RW.3, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",-6.175109,106.8085523,1000
JPM69,Masjid Al Ihsan,"Jl. Taman Kb. Sirih III No.8, RT.10/RW.10, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.1843468,106.8211298,1000
JPM70,Masjid AL MUJAHIDIN,"Jalan Kramat Sentiong,Kemayoran., RT.13/RW.1, Johar Baru, RT.13/RW.1, Johar Baru, Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",-6.1830835,106.851992,1000
