kode pengungsian,name,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM23,Jami' Asy-Syaakiriin Mosque,"Jl. Kebon Melati 1 No.5, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1943908,106.8154922,3000
JPM24,Masjid Al Fawaz,"Jl. Bungur Besar Raya No.3, RT.4/RW.1, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",-6.1623266,106.8400783,3000
JPM25,Masjid Al Abror Gedung Pos Ibukota,"RRJM+WHW, Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710",-6.1676373,106.8339409,3000
JPM26,"Masjid Jami Nurul Islam, Karang Anyar, Jakarta Pusat","Jl. B III No.Dalam, RT.2/RW.5, Karang Anyar, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10745",-6.1557544,106.8283274,3000
JPM27,Masjid Jami Alkhosyi'ien,"Jl 23, RT.6/RW.3, Kebon Kacang, Tanah Abang, Central Jakarta City, Jakarta 10240",-6.189961,106.820434,3000
JPM28,An Nur Mosque,"JL. Kelinci II, No. 3 RT. 012/04, Sawah Besar, RT.13/RW.4, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1640169,106.8357918,3000
JPM29,Masjid Al-Muawanah,"Jl. Kebon Dalam No.45, RT.6/RW.6, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.1851848,106.8134225,3000
JPM30,Masjid An Nur,"JL. Tanah Tinggi, 1 RT 03 RW 02, RT.7/RW.1, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",-6.1776592,106.8463101,3000
JPM31,Masjid At-Taqwa Thamres,"Thamrin Residences, Lt.P3, RT.3, RT.3/RW.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1967674,106.8166378,3000
JPM32,Masjid Jamian-Nimah,"Jl. Kebon Kacang III No. 49 RT 008 RW 05 Kebon Kacang Tanah Abang Jakarta Pusat DKI Jakarta, RT.3/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1890827,106.8177151,3000
